

ESTACIÓN AUTOMÁTICA: Ourense
CONCELLO: Ourense
PROVINCIA: Ourense

CÓDIGOS DE VALIDACIÓN DOS DATOS:
0:  Dato sen validar
1:  Dato válido orixinal
2:  Dato sospeitoso
3:  Dato erróneo
4:  Dato acumulado                                    
5:  Dato válido interpolado
9:  Dato non rexistrado


Nota: O valor -9999 indicará dato non rexistrado

Tipo de consulta: Variables diarias
Período:01/4/2015-23/10/2015


COD.VALIDACIÓN  DATA          PARÁMETRO (Unidades)                     VALOR

      1          01/04/2015    Temperatura media (ºC)                    14,3
      1          02/04/2015    Temperatura media (ºC)                    16,4
      1          03/04/2015    Temperatura media (ºC)                    15,7
      1          04/04/2015    Temperatura media (ºC)                    13,7
      1          05/04/2015    Temperatura media (ºC)                    16,1
      1          06/04/2015    Temperatura media (ºC)                    15,8
      1          07/04/2015    Temperatura media (ºC)                    15,6
      1          08/04/2015    Temperatura media (ºC)                    14,7
      1          09/04/2015    Temperatura media (ºC)                    13,6
      1          10/04/2015    Temperatura media (ºC)                    13,8
      1          11/04/2015    Temperatura media (ºC)                    13,6
      1          12/04/2015    Temperatura media (ºC)                    15,9
      1          13/04/2015    Temperatura media (ºC)                    16,9
      1          14/04/2015    Temperatura media (ºC)                    16,4
      1          15/04/2015    Temperatura media (ºC)                    14,7
      1          16/04/2015    Temperatura media (ºC)                    13
      1          17/04/2015    Temperatura media (ºC)                    13
      1          18/04/2015    Temperatura media (ºC)                    10,9
      1          19/04/2015    Temperatura media (ºC)                    12,7
      1          20/04/2015    Temperatura media (ºC)                    14,7
      1          21/04/2015    Temperatura media (ºC)                    16,6
      1          22/04/2015    Temperatura media (ºC)                    13,1
      1          23/04/2015    Temperatura media (ºC)                    13,9
      1          24/04/2015    Temperatura media (ºC)                    13,1
      1          25/04/2015    Temperatura media (ºC)                    13,6
      1          26/04/2015    Temperatura media (ºC)                    13,3
      1          27/04/2015    Temperatura media (ºC)                    13,1
      1          28/04/2015    Temperatura media (ºC)                    12,9
      1          29/04/2015    Temperatura media (ºC)                    13
      1          30/04/2015    Temperatura media (ºC)                    15,7
      1          01/05/2015    Temperatura media (ºC)                    16,6
      1          02/05/2015    Temperatura media (ºC)                    17,9
      1          03/05/2015    Temperatura media (ºC)                    17,7
      1          04/05/2015    Temperatura media (ºC)                    17
      1          05/05/2015    Temperatura media (ºC)                    12,2
      1          06/05/2015    Temperatura media (ºC)                    13,4
      1          07/05/2015    Temperatura media (ºC)                    15,8
      1          08/05/2015    Temperatura media (ºC)                    16,5
      1          09/05/2015    Temperatura media (ºC)                    18,3
      1          10/05/2015    Temperatura media (ºC)                    19,9
      1          11/05/2015    Temperatura media (ºC)                    20,1
      1          12/05/2015    Temperatura media (ºC)                    21,3
      1          13/05/2015    Temperatura media (ºC)                    19,5
      1          14/05/2015    Temperatura media (ºC)                    15,8
      1          15/05/2015    Temperatura media (ºC)                    15,4
      1          16/05/2015    Temperatura media (ºC)                    17,9
      1          17/05/2015    Temperatura media (ºC)                    19,9
      1          18/05/2015    Temperatura media (ºC)                    16,9
      1          19/05/2015    Temperatura media (ºC)                    13,9
      1          20/05/2015    Temperatura media (ºC)                    12,5
      1          21/05/2015    Temperatura media (ºC)                    14,5
      1          22/05/2015    Temperatura media (ºC)                    15,1
      1          23/05/2015    Temperatura media (ºC)                    16,2
      1          24/05/2015    Temperatura media (ºC)                    17,9
      1          25/05/2015    Temperatura media (ºC)                    18,8
      1          26/05/2015    Temperatura media (ºC)                    19,3
      1          27/05/2015    Temperatura media (ºC)                    19,9
      1          28/05/2015    Temperatura media (ºC)                    19,8
      1          29/05/2015    Temperatura media (ºC)                    20,4
      1          30/05/2015    Temperatura media (ºC)                    18,8
      1          31/05/2015    Temperatura media (ºC)                    18,1
      1          01/06/2015    Temperatura media (ºC)                    21,2
      1          02/06/2015    Temperatura media (ºC)                    20,2
      1          03/06/2015    Temperatura media (ºC)                    22,9
      1          04/06/2015    Temperatura media (ºC)                    24,3
      1          05/06/2015    Temperatura media (ºC)                    21,2
      1          06/06/2015    Temperatura media (ºC)                    22
      1          07/06/2015    Temperatura media (ºC)                    24,4
      1          08/06/2015    Temperatura media (ºC)                    23,9
      1          09/06/2015    Temperatura media (ºC)                    20,8
      1          10/06/2015    Temperatura media (ºC)                    18,5
      1          11/06/2015    Temperatura media (ºC)                    17,1
      1          12/06/2015    Temperatura media (ºC)                    14,4
      1          13/06/2015    Temperatura media (ºC)                    13,4
      1          14/06/2015    Temperatura media (ºC)                    15,1
      1          15/06/2015    Temperatura media (ºC)                    18,1
      1          16/06/2015    Temperatura media (ºC)                    18,7
      1          17/06/2015    Temperatura media (ºC)                    21,2
      1          18/06/2015    Temperatura media (ºC)                    23,5
      1          19/06/2015    Temperatura media (ºC)                    23,6
      1          20/06/2015    Temperatura media (ºC)                    25,7
      1          21/06/2015    Temperatura media (ºC)                    26,3
      1          22/06/2015    Temperatura media (ºC)                    21,8
      1          23/06/2015    Temperatura media (ºC)                    19,8
      1          24/06/2015    Temperatura media (ºC)                    23,1
      1          25/06/2015    Temperatura media (ºC)                    23,3
      1          26/06/2015    Temperatura media (ºC)                    22,8
      1          27/06/2015    Temperatura media (ºC)                    24,9
      1          28/06/2015    Temperatura media (ºC)                    24,7
      1          29/06/2015    Temperatura media (ºC)                    27,1
      1          30/06/2015    Temperatura media (ºC)                    25,6
      1          01/07/2015    Temperatura media (ºC)                    21,7
      1          02/07/2015    Temperatura media (ºC)                    21,2
